caseId,label,adultAuditIdentity,adultAuditConfidence,adultAuditAgreement,adultEnforcementDecision,adultFinalEligibilityReason,adultFinalSelectionDecision,teenIdentityDecision,teenIdentityReason,teenIdentityClassification,teenFinalEligibilityReason,teenFinalSelectionDecision,teenProductionEnforcementObserved
narrative-novel,"narrative novel",individual_narrative_work,0.895,identity_agrees_with_current_behavior,accepted,"adult_googlebooks_minimal_final_gate_passed",selected,passed,"teen_googlebooks_publication_identity_passed",narrative_novel_or_uncertain,"teens_googlebooks_named_final_eligibility_passed",selected,false
series-installment,"series installment",narrative_series_volume,0.96,identity_agrees_with_current_behavior,accepted,"adult_googlebooks_minimal_final_gate_passed",selected,passed,"teen_googlebooks_publication_identity_passed",series_installment,"teens_googlebooks_named_final_eligibility_passed",selected,false
story-collection-anthology,"story collection or anthology",short_story_collection,0.89,likely_collection_false_accept,unchanged,"adult_googlebooks_minimal_final_gate_passed",selected,passed,"teen_googlebooks_publication_identity_passed",legitimate_short_story_anthology,"teens_googlebooks_named_final_eligibility_passed",selected,false
literary-study-criticism,"literary study or criticism",literary_criticism_or_subject_study,0.98,likely_non_narrative_false_accept,rejected,"adult_googlebooks_artifact_or_reference_shape",,rejected,"teen_googlebooks_publication_identity_subject_of_study_flag",literary_criticism_or_study,"teen_googlebooks_publication_identity_subject_of_study_flag",not_reached:teen_publication_identity_final_guard,true
companion-guide,"companion/guide",reading_guide_or_companion,0.94,likely_non_narrative_false_accept,unchanged,"adult_googlebooks_artifact_or_reference_shape",,rejected,"teen_googlebooks_publication_identity_curated_guide_flag",guide_reference,"teen_googlebooks_publication_identity_curated_guide_flag",not_reached:teen_publication_identity_final_guard,true
catalog-promotional-collection,"catalog or promotional collection",best_of_or_annual_collection,0.98,likely_collection_false_accept,rejected,"adult_googlebooks_minimal_final_gate_passed",passed_eligibility_not_selected,rejected,"teen_googlebooks_publication_identity_generic_category_flag",catalog_or_promotional_collection,"teen_googlebooks_publication_identity_generic_category_flag",not_reached:teen_publication_identity_final_guard,true
generic-category-title,"generic category title",bibliography_catalog_or_reference,0.965,likely_non_narrative_false_accept,unchanged,"adult_googlebooks_minimal_final_gate_passed",selected,rejected,"teen_googlebooks_publication_identity_generic_category_flag",catalog_or_promotional_collection,"teen_googlebooks_publication_identity_generic_category_flag",not_reached:teen_publication_identity_final_guard,true
periodical,"periodical",periodical_or_serial_issue,0.98,likely_non_narrative_false_accept,unchanged,"adult_googlebooks_artifact_or_reference_shape",,passed,"teen_googlebooks_publication_identity_passed",narrative_novel_or_uncertain,"teens_googlebooks_named_final_eligibility_passed",selected,false
ambiguous-unknown-shape,"ambiguous/unknown publication shape",identity_uncertain,0.58,uncertain_identity_needs_review,unchanged,"adult_googlebooks_minimal_final_gate_passed",selected,passed,"teen_googlebooks_publication_identity_passed",narrative_novel_or_uncertain,"teens_googlebooks_named_final_eligibility_passed",selected,false
conflicting-narrative-artifact,"conflicting narrative and artifact evidence",reading_guide_or_companion,0.98,likely_non_narrative_false_accept,unchanged,"adult_googlebooks_artifact_or_reference_shape",,rejected,"teen_googlebooks_publication_identity_curated_guide_flag",guide_reference,"teen_googlebooks_publication_identity_curated_guide_flag",not_reached:teen_publication_identity_final_guard,true