capability,stage,adultProductionStatus,teenProductionStatus,behavioralClassification,recommendation,adultFunctions,teenFunctions,effectSurface,constantsThresholds
"Query quality comparison","retrieval planning",diagnostic_only,diagnostic_only,same_name_different_semantics,"Define shared contract before unification","","","retrieval (currently mixed production+diagnostic)","none hard-coded in shared core"
"Query promotion / replacement","retrieval planning",production_or_core,production_or_core,truly_shared,"Keep shared core; move policy to age-band config","addAdultGoogleBooksSelectionObservability | addTeenGoogleBooksMeaningfulTasteObservability | adultGoogleBooksFinalEligibility","addTeenGoogleBooksMeaningfulTasteObservability","retrieval/ranking handoff","policy-based"
"Family-scoped query competition","retrieval planning",diagnostic_only,diagnostic_only,same_name_different_semantics,"Define shared contract before unification","","","retrieval policy","family-level yield comparisons"
"Narrative-strength scoring","scoring/ranking",production_or_core,production_or_core,truly_shared,"Keep shared core; move policy to age-band config","addAdultGoogleBooksSelectionObservability | adultGoogleBooksApplyNarrativeStrengthRanking | adultGoogleBooksNarrativeStrength | adultGoogleBooksNarrativeStrengthAdd | adultGoogleBooksNarrativeStrengthAdjustedSelectionScore | selectRecommendations","addNonAdultGoogleBooksSelectionLineageObservability | addPreteenGoogleBooksPublicationIdentityObservability | rejectReason | selectRecommendations | teenGoogleBooksPublicationIdentityAudit","ranking + eligibility support","adult narrative-strength component weights"
"Semantic phrase extraction","scoring/diagnostics",production_or_core,production_or_core,behaviorally_equivalent_duplication,"Extract shared primitive and parametrize age policy","addAdultGoogleBooksSelectionObservability | adultGoogleBooksNarrativeCueEvidence | adultGoogleBooksNarrativeFamilyExtractionAnalysis","addTeenGoogleBooksMeaningfulTasteObservability","diagnostic + potential ranking hooks","signal lexicon driven"
"Canonical cue promotion","scoring/family mapping",production_or_core,production_or_core,behaviorally_equivalent_duplication,"Extract shared primitive and parametrize age policy","addAdultGoogleBooksSelectionObservability | adultGoogleBooksCanonicalNarrativeFamilyPromotions | adultGoogleBooksCueClassification | adultGoogleBooksMeaningfulAlignmentFailureDetails | adultGoogleBooksNarrativeFamilyExtractionAnalysis","addTeenGoogleBooksMeaningfulTasteObservability","family weighting and diagnostics","cue confidence and family mapping rules"
"Final slate identity auditing","post-selection audit",production_or_core,production_or_core,behaviorally_equivalent_duplication,"Extract shared primitive and parametrize age policy","addAdultGoogleBooksSelectionObservability | adultGoogleBooksFinalSlateIdentityAudit | adultGoogleBooksIdentityEnforcement","addNonAdultGoogleBooksSelectionLineageObservability | addPreteenGoogleBooksPublicationIdentityObservability","eligibility + reporting","identity confidence and rejection categories"
"Meaningful taste tiers","selection quality tiering",production_or_core,production_or_core,truly_shared,"Keep shared core; move policy to age-band config","addAdultGoogleBooksSelectionObservability | addTeenGoogleBooksMeaningfulTasteObservability | adultGoogleBooksAmbiguousCueClassification | adultGoogleBooksCanonicalMissingFamilyRows | adultGoogleBooksCanonicalNarrativeFamilyPromotions | adultGoogleBooksCueClassification | adultGoogleBooksFinalEligibility | adultGoogleBooksMeaningfulAlignmentFailureDetails | adultGoogleBooksMeaningfulTasteEligibility | adultGoogleBooksMeaningfulTasteFamilies | adultGoogleBooksNarrativeFamilyExtractionAnalysis | adultGoogleBooksWeightedCounterfactualDecision","addTeenGoogleBooksMeaningfulTasteObservability","selection/ranking/reporting","tier boundaries in Teen classifier"
"Counterfactual final slate","selection audit",production_or_core,production_or_core,behaviorally_equivalent_duplication,"Extract shared primitive and parametrize age policy","addAdultGoogleBooksSelectionObservability","addTeenGoogleBooksMeaningfulTasteObservability","diagnostic/reporting","min clean slate target=5 (Teen)"
"Evidence-origin reconciliation audit","diagnostic audit",production_or_core,diagnostic_only,adult_production_teen_diagnostic,"Promote Teen path from diagnostic to production integration","addAdultGoogleBooksSelectionObservability","","diagnostic/reporting","none"
"Marginal decision-worthy yield","retrieval audit",diagnostic_only,diagnostic_only,same_name_different_semantics,"Define shared contract before unification","","","retrieval policy / diagnostic","none"
"Adult content weighting branch","eligibility/policy",production_or_core,production_or_core,age_specific_by_necessity,"Keep separate policy branch with explicit invariants","addAdultGoogleBooksSelectionObservability | adultGoogleBooksFinalEligibility | adultGoogleBooksIdentityEnforcement | adultGoogleBooksIdentityEnforcementForIdentity | adultGoogleBooksPolarityCausalityForCandidate | rejectReason","addPreteenGoogleBooksPublicationIdentityObservability | rejectReason | teenGoogleBooksAudienceReconciliationAudit | teenGoogleBooksPublicationIdentityAudit","eligibility","age-specific by design"