capability,bucket,adultCapabilityPresent,teenEquivalentPresent,status,recommendation
"Query quality comparison",A,true,true,"Both","Unify"
"Query promotion / replacement",A,true,true,"Both","Unify"
"Family-scoped query competition",A,true,true,"Both","Unify"
"Narrative-strength scoring",A,true,true,"Both","Unify"
"Semantic phrase extraction",A,true,true,"Both","Unify"
"Canonical cue promotion",A,true,true,"Both","Unify"
"Parser confidence diagnostics",A,false,true,"Teen only","Back-port"
"Final slate identity auditing",A,true,true,"Both","Unify"
"Meaningful taste tiers",D,true,true,"Both","Unify"
"Counterfactual final slate",D,true,true,"Both","Unify"
"Weak-underfill dependency audit",D,false,true,"Teen only","Consider back-port"
"Evidence-origin reconciliation audit",D,true,true,"Both","Unify"
"Query-family overlap matrix",D,false,true,"Teen only","Consider back-port"
"Marginal decision-worthy yield",D,true,true,"Both","Unify"
"Adult content weighting",C,true,true,"Both","Keep adult-only policy branch"