report,presetTestName,title,result,weakUsedForUnderfillBefore,netScore,trustedEvidence
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","The Role of Nature in the Works of Octavia Butler",remains_weak,false,17.675,
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Pretties with Ugly Thoughts",remains_weak,true,15.869,
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Divergent Official Illustrated Movie Companion",remains_weak,false,15.869,
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Last Chance Books",remains_weak,true,15.869,
"pasted-text-5607a7f4-f4ee-41ce-9bcb-fc5474b8128c.txt","Test A","Your Eyes in Stars",remains_weak,false,18.119,
"pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt","Test B","Your Eyes in Stars",remains_weak,true,13.941,
"pasted-text-7a44d26a-1b4e-4000-b759-0878cf780afd.txt","Test B","Someone Like Summer",remains_weak,true,11.284,
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Malcolm and Juliet",remains_weak,true,14.469,
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Crowned (A Conyza Bennett story, Book 3)",remains_weak,true,14.469,
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","The Red Queen: The Obernewtyn Chronicles Volume 7",remains_weak,false,9.209,
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Starclimber",remains_weak,false,7.456,
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Wolfborn",remains_weak,false,7.456,
"pasted-text-4b014e5b-a987-4171-a860-54fad9d6c00f.txt","Test C","Waer",remains_weak,false,5.206,
"pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt","Test A","Wolfborn",remains_weak,true,13.669,
"pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt","Test A","Waer",remains_weak,false,12.544,
"pasted-text-1dc55a0d-e9a0-4803-b866-944aac5d3040.txt","Test A","The Red Queen: The Obernewtyn Chronicles Volume 7",remains_weak,false,11.916,
"pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt","Test C","The Red Queen: The Obernewtyn Chronicles Volume 7",remains_weak,true,11.559,
"pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt","Test C","Starclimber",remains_weak,true,9.309,
"pasted-text-6993560d-b54d-4496-82f5-934e2799b12b.txt","Test C","Waer",remains_weak,false,8.184,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Divergent Official Illustrated Movie Companion",remains_weak,false,13.288,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","You",remains_weak,true,13.263,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Pretties with Ugly Thoughts",remains_weak,true,11.013,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Last Chance Books",remains_weak,true,11.916,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Your Eyes in Stars",remains_weak,true,14.166,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","The Giver Illustrated Gift Edition",remains_weak,true,10.791,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","The Role of Nature in the Works of Octavia Butler",remains_weak,false,11.013,
"pasted-text-c20b8e6b-d378-4e10-bf54-c2870d18a8b4.txt","Test A","Someone Like Summer",remains_weak,false,9.534,
"pasted-text-0cf2032e-283d-4ecc-8a82-ee32fe02458d.txt","Test B","Your Eyes in Stars",remains_weak,true,13.144,
"pasted-text-0cf2032e-283d-4ecc-8a82-ee32fe02458d.txt","Test B","Someone Like Summer",remains_weak,true,10.488,
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Crowned (A Conyza Bennett story, Book 3)",remains_weak,true,20.509,
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Love Is Hell",remains_weak,true,17.003,
"pasted-text-1d3a8998-9adc-4ace-8b91-03f55dad4d7d.txt","Test C","Sydney Bridge Upside Down: Text Classics",remains_weak,true,17.003,